			56494	Microsoft Windows Vista SP0 - SP1	89	Microsoft	Windows	general purpose	Vista
			56449	Microsoft Windows Vista Home Premium SP1, Windows 7, or Windows Server 2008	87	Microsoft	Windows	general purpose	Vista
					87	Microsoft	Windows	general purpose	7
					87	Microsoft	Windows	general purpose	2008
			54826	Microsoft Windows 7 SP1 or Windows Server 2008 SP1 - SP2	87	Microsoft	Windows	general purpose	7
					87	Microsoft	Windows	general purpose	2008
open	22	tcp	38858	Linux 2.6.18 - 2.6.32	96	Linux	Linux	general purpose	2.6.X
			43805	Linux 2.6.32	96	Linux	Linux	general purpose	2.6.X
			44376	Linux 2.6.32 - 3.9	95	Linux	Linux	general purpose	2.6.X
					95	Linux	Linux	general purpose	3.X
			36687	Linux 2.6.13 - 2.6.32	94	Linux	Linux	general purpose	2.6.X
			63671	Netgear DG834G WAP or Western Digital WD TV media player	94	Netgear	embedded	WAP	
					94	Western Digital	embedded	media device	
			6558	Asus RT-N10 router or AXIS 211A Network Camera (Linux 2.6)	94	Asus	Linux	router	2.6.X
					94	AXIS	Linux	webcam	2.6.X
			7376	AXIS 211A Network Camera (Linux 2.6.20)	94	AXIS	Linux	webcam	2.6.X
			38525	Linux 2.6.18 - 2.6.21	93	Linux	Linux	general purpose	2.6.X
			37157	Linux 2.6.16	93	Linux	Linux	general purpose	2.6.X
			41506	Linux 2.6.26	92	Linux	Linux	general purpose	2.6.X
open	135	tcp	54500	Microsoft Windows 7 Professional	93	Microsoft	Windows	general purpose	7
			56039	Microsoft Windows Phone 7.5	92	Microsoft	Windows	phone	Phone
			53602	Microsoft Windows Server 2008 Beta 3	92	Microsoft	Windows	general purpose	2008
			56574	Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7	92	Microsoft	Windows	general purpose	Vista
					92	Microsoft	Windows	general purpose	2008
					92	Microsoft	Windows	general purpose	7
			56887	Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008	92	Microsoft	Windows	general purpose	Vista
					92	Microsoft	Windows	general purpose	7
					92	Microsoft	Windows	general purpose	2008
			56427	Microsoft Windows Vista Home Premium SP1	91	Microsoft	Windows	general purpose	Vista
			53730	Microsoft Windows Server 2008 SP1	89	Microsoft	Windows	general purpose	2008
			54788	Microsoft Windows 7 SP1	86	Microsoft	Windows	general purpose	7
			56494	Microsoft Windows Vista SP0 - SP1	86	Microsoft	Windows	general purpose	Vista
open	135	tcp	54458	Microsoft Windows 7 or Windows Server 2012	100	Microsoft	Windows	general purpose	7
					100	Microsoft	Windows	general purpose	2012
open	135	tcp	54500	Microsoft Windows 7 Professional	95	Microsoft	Windows	general purpose	7
			56039	Microsoft Windows Phone 7.5	94	Microsoft	Windows	phone	Phone
			56574	Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7	93	Microsoft	Windows	general purpose	Vista
					93	Microsoft	Windows	general purpose	2008
					93	Microsoft	Windows	general purpose	7
			56887	Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008	93	Microsoft	Windows	general purpose	Vista
					93	Microsoft	Windows	general purpose	7
					93	Microsoft	Windows	general purpose	2008
			56427	Microsoft Windows Vista Home Premium SP1	93	Microsoft	Windows	general purpose	Vista
			53730	Microsoft Windows Server 2008 SP1	91	Microsoft	Windows	general purpose	2008
			56494	Microsoft Windows Vista SP0 - SP1	89	Microsoft	Windows	general purpose	Vista
			56449	Microsoft Windows Vista Home Premium SP1, Windows 7, or Windows Server 2008	87	Microsoft	Windows	general purpose	Vista
					87	Microsoft	Windows	general purpose	7
					87	Microsoft	Windows	general purpose	2008
			54788	Microsoft Windows 7 SP1	87	Microsoft	Windows	general purpose	7
			54826	Microsoft Windows 7 SP1 or Windows Server 2008 SP1 - SP2	87	Microsoft	Windows	general purpose	7
					87	Microsoft	Windows	general purpose	2008
open	135	tcp	54458	Microsoft Windows 7 or Windows Server 2012	100	Microsoft	Windows	general purpose	7
					100	Microsoft	Windows	general purpose	2012
open	80	tcp	56574	Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7	93	Microsoft	Windows	general purpose	Vista
					93	Microsoft	Windows	general purpose	2008
					93	Microsoft	Windows	general purpose	7
			54500	Microsoft Windows 7 Professional	92	Microsoft	Windows	general purpose	7
			56887	Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008	91	Microsoft	Windows	general purpose	Vista
					91	Microsoft	Windows	general purpose	7
					91	Microsoft	Windows	general purpose	2008
			56039	Microsoft Windows Phone 7.5	91	Microsoft	Windows	phone	Phone
			56427	Microsoft Windows Vista Home Premium SP1	89	Microsoft	Windows	general purpose	Vista
			53730	Microsoft Windows Server 2008 SP1	88	Microsoft	Windows	general purpose	2008
			56449	Microsoft Windows Vista Home Premium SP1, Windows 7, or Windows Server 2008	86	Microsoft	Windows	general purpose	Vista
					86	Microsoft	Windows	general purpose	7
					86	Microsoft	Windows	general purpose	2008
			54788	Microsoft Windows 7 SP1	86	Microsoft	Windows	general purpose	7
			56494	Microsoft Windows Vista SP0 - SP1	86	Microsoft	Windows	general purpose	Vista
open	135	tcp	53602	Microsoft Windows Server 2008 Beta 3	100	Microsoft	Windows	general purpose	2008
			54518	Microsoft Windows 7 Professional	100	Microsoft	Windows	general purpose	7
			56039	Microsoft Windows Phone 7.5	100	Microsoft	Windows	phone	Phone
			56574	Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7	100	Microsoft	Windows	general purpose	Vista
					100	Microsoft	Windows	general purpose	2008
					100	Microsoft	Windows	general purpose	7
			56887	Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008	100	Microsoft	Windows	general purpose	Vista
					100	Microsoft	Windows	general purpose	7
					100	Microsoft	Windows	general purpose	2008
